,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
174,Brandon Clarke,Memphis Grizzlies,1629634,462.0,448.43,0.643,0.038,13.57,3.0,19.48,0.059,-0.969,-16.48,465,467.91,0.618,0.622,-0.008,-2.9
175,Darius Garland,Cleveland Cavaliers,1629636,596.0,551.94,0.534,0.079,44.06,561.0,489.48,0.407,0.155,71.52,1157,1041.42,0.568,0.512,0.114,115.6
176,Jaxson Hayes,Los Angeles Lakers,1629637,246.0,221.87,0.732,0.144,24.13,0.0,3.4,0.0,-1.133,-3.4,246,225.27,0.719,0.659,0.121,20.7
177,Nickeil Alexander-Walker,Minnesota Timberwolves,1629638,224.0,229.46,0.516,-0.025,-5.46,372.0,347.2,0.39,0.078,24.8,596,576.63,0.557,0.539,0.036,19.4
178,Tyler Herro,Miami Heat,1629639,644.0,574.01,0.558,0.121,69.99,666.0,615.14,0.367,0.084,50.86,1310,1189.16,0.554,0.503,0.102,120.8
179,Keldon Johnson,San Antonio Spurs,1629640,466.0,465.37,0.568,0.002,0.63,231.0,255.95,0.332,-0.108,-24.95,697,721.34,0.543,0.562,-0.038,-24.3
180,Kevin Porter Jr.,Milwaukee Bucks,1629645,348.0,359.92,0.475,-0.033,-11.92,108.0,128.6,0.286,-0.163,-20.6,456,488.55,0.463,0.496,-0.066,-32.6
181,Charles Bassey,San Antonio Spurs,1629646,136.0,144.67,0.586,-0.075,-8.67,0.0,0.0,0.0,0.0,0.0,136,144.67,0.586,0.624,-0.075,-8.7
182,Nicolas Claxton,Brooklyn Nets,1629651,528.0,547.18,0.564,-0.041,-19.18,3.0,17.25,0.067,-0.95,-14.25,531,564.43,0.55,0.584,-0.069,-33.4
183,Luguentz Dort,Oklahoma City Thunder,1629652,154.0,176.53,0.484,-0.142,-22.53,417.0,387.17,0.398,0.085,29.83,571,563.72,0.562,0.555,0.014,7.3
184,Daniel Gafford,Dallas Mavericks,1629655,506.0,449.74,0.699,0.155,56.26,0.0,0.0,0.0,0.0,0.0,506,449.74,0.699,0.621,0.155,56.3
185,Quentin Grimes,Philadelphia 76ers,1629656,374.0,343.43,0.574,0.094,30.57,402.0,351.82,0.395,0.148,50.18,776,695.25,0.583,0.523,0.121,80.8
186,Talen Horton-Tucker,Chicago Bulls,1629659,126.0,135.54,0.5,-0.076,-9.54,102.0,103.96,0.362,-0.021,-1.96,228,239.5,0.518,0.544,-0.052,-11.5
