,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
239,Devin Vassell,San Antonio Spurs,1630170,616.0,561.73,0.54,0.095,54.27,471.0,430.89,0.375,0.096,40.11,1087,992.64,0.55,0.502,0.095,94.4
240,Isaac Okoro,Cleveland Cavaliers,1630171,278.0,284.85,0.574,-0.028,-6.85,225.0,225.53,0.391,-0.003,-0.53,503,510.39,0.579,0.588,-0.017,-7.4
241,Patrick Williams,Chicago Bulls,1630172,200.0,215.84,0.476,-0.075,-15.84,177.0,169.05,0.399,0.054,7.95,377,384.88,0.527,0.538,-0.022,-7.9
242,Precious Achiuwa,New York Knicks,1630173,372.0,398.31,0.564,-0.08,-26.31,75.0,104.18,0.275,-0.321,-29.18,447,502.5,0.531,0.597,-0.132,-55.5
243,Aaron Nesmith,Indiana Pacers,1630174,288.0,292.43,0.56,-0.017,-4.43,372.0,320.27,0.435,0.182,51.73,660,612.69,0.609,0.565,0.087,47.3
244,Cole Anthony,Orlando Magic,1630175,426.0,439.29,0.498,-0.031,-13.29,222.0,253.76,0.326,-0.14,-31.76,648,693.04,0.495,0.529,-0.069,-45.0
245,Tyrese Maxey,Philadelphia 76ers,1630178,728.0,757.54,0.495,-0.04,-29.54,543.0,523.47,0.373,0.04,19.53,1271,1281.04,0.521,0.525,-0.008,-10.0
246,Saddiq Bey,Atlanta Hawks,1630180,350.0,388.92,0.521,-0.116,-38.92,333.0,398.77,0.317,-0.188,-65.77,683,787.71,0.498,0.574,-0.153,-104.7
247,Josh Green,Dallas Mavericks,1630182,204.0,207.76,0.586,-0.022,-3.76,210.0,198.69,0.402,0.065,11.31,414,406.46,0.595,0.584,0.022,7.5
248,Jaden McDaniels,Minnesota Timberwolves,1630183,370.0,336.33,0.584,0.106,33.67,219.0,234.98,0.349,-0.076,-15.98,589,571.33,0.56,0.543,0.034,17.7
249,Jalen Smith,Indiana Pacers,1630188,288.0,254.01,0.716,0.169,33.99,162.0,141.79,0.439,0.164,20.21,450,395.8,0.694,0.611,0.167,54.2
250,Isaiah Stewart,Detroit Pistons,1630191,234.0,249.46,0.574,-0.076,-15.46,195.0,191.34,0.392,0.022,3.66,429,440.79,0.58,0.596,-0.032,-11.8
251,Zeke Nnaji,Denver Nuggets,1630192,110.0,137.51,0.491,-0.246,-27.51,15.0,24.37,0.238,-0.446,-9.37,125,161.88,0.47,0.609,-0.277,-36.9
252,Immanuel Quickley,Toronto Raptors,1630193,372.0,409.63,0.462,-0.093,-37.63,441.0,411.45,0.397,0.08,29.55,813,821.07,0.526,0.531,-0.01,-8.1
253,Paul Reed,Philadelphia 76ers,1630194,388.0,400.73,0.553,-0.036,-12.73,54.0,58.71,0.353,-0.092,-4.71,442,459.42,0.55,0.571,-0.043,-17.4
254,Isaiah Joe,Oklahoma City Thunder,1630198,126.0,114.95,0.578,0.101,11.05,357.0,322.85,0.406,0.117,34.15,483,437.8,0.601,0.545,0.112,45.2
255,Tre Jones,San Antonio Spurs,1630200,402.0,367.74,0.596,0.102,34.26,156.0,174.32,0.342,-0.121,-18.32,558,542.05,0.571,0.554,0.033,16.0
256,Malachi Flynn,Detroit Pistons,1630201,82.0,91.5,0.461,-0.107,-9.5,114.0,120.01,0.336,-0.053,-6.01,196,211.51,0.485,0.524,-0.077,-15.5
257,Payton Pritchard,Boston Celtics,1630202,194.0,188.3,0.545,0.032,5.7,372.0,353.45,0.389,0.058,18.55,566,541.75,0.569,0.545,0.049,24.2
258,Lamar Stevens,Memphis Grizzlies,1630205,132.0,147.81,0.489,-0.117,-15.81,30.0,27.39,0.417,0.109,2.61,162,175.21,0.509,0.551,-0.083,-13.2
259,Nick Richards,Charlotte Hornets,1630208,450.0,403.35,0.692,0.144,46.65,0.0,0.95,0.0,-0.95,-0.95,450,404.3,0.69,0.62,0.14,45.7
260,Omer Yurtseven,Utah Jazz,1630209,112.0,114.92,0.615,-0.032,-2.92,15.0,22.33,0.263,-0.386,-7.33,127,137.24,0.577,0.624,-0.093,-10.2
261,Xavier Tillman,Boston Celtics,1630214,176.0,211.92,0.503,-0.205,-35.92,45.0,77.42,0.227,-0.491,-32.42,221,289.35,0.459,0.6,-0.284,-68.4
262,Jared Butler,Washington Wizards,1630215,84.0,73.97,0.609,0.145,10.03,42.0,51.59,0.311,-0.213,-9.59,126,125.54,0.553,0.551,0.004,0.5
263,Desmond Bane,Memphis Grizzlies,1630217,428.0,412.93,0.536,0.038,15.07,390.0,356.77,0.381,0.097,33.23,818,769.75,0.553,0.52,0.065,48.2
264,Skylar Mays,Los Angeles Lakers,1630219,94.0,102.89,0.452,-0.085,-8.89,48.0,59.9,0.302,-0.225,-11.9,142,162.78,0.452,0.518,-0.132,-20.8
265,Jalen Green,Houston Rockets,1630224,618.0,642.39,0.5,-0.039,-24.39,480.0,518.02,0.328,-0.078,-38.02,1098,1160.42,0.496,0.525,-0.056,-62.4
266,Jonathan Kuminga,Golden State Warriors,1630228,710.0,691.21,0.578,0.031,18.79,141.0,164.41,0.324,-0.161,-23.41,851,855.61,0.561,0.564,-0.006,-4.6
267,Naji Marshall,New Orleans Pelicans,1630230,206.0,221.28,0.523,-0.078,-15.28,147.0,148.19,0.371,-0.009,-1.19,353,369.48,0.536,0.562,-0.05,-16.5
268,Kenyon Martin Jr.,Philadelphia 76ers,1630231,140.0,153.53,0.574,-0.111,-13.53,24.0,29.46,0.32,-0.218,-5.46,164,182.99,0.558,0.622,-0.129,-19.0
269,Sam Merrill,Cleveland Cavaliers,1630241,30.0,39.4,0.417,-0.261,-9.4,369.0,314.0,0.411,0.184,55.0,399,353.4,0.596,0.527,0.136,45.6
270,Ayo Dosunmu,Chicago Bulls,1630245,408.0,392.66,0.562,0.042,15.34,306.0,300.16,0.395,0.023,5.84,714,692.82,0.575,0.558,0.034,21.2
271,Jae'Sean Tate,Houston Rockets,1630256,160.0,161.44,0.556,-0.01,-1.44,69.0,87.21,0.307,-0.243,-18.21,229,248.65,0.523,0.568,-0.09,-19.7
272,Matt Ryan,New Orleans Pelicans,1630346,16.0,20.3,0.381,-0.205,-4.3,123.0,95.53,0.466,0.312,27.47,139,115.82,0.638,0.531,0.213,23.2
273,Herbert Jones,New Orleans Pelicans,1630529,306.0,304.45,0.588,0.006,1.55,285.0,255.84,0.434,0.133,29.16,591,560.29,0.617,0.585,0.064,30.7
274,Trey Murphy III,New Orleans Pelicans,1630530,158.0,146.41,0.617,0.091,11.59,381.0,376.81,0.378,0.012,4.19,539,523.25,0.581,0.564,0.034,15.8
275,Jaden Springer,Boston Celtics,1630531,86.0,101.84,0.473,-0.174,-15.84,21.0,48.62,0.167,-0.658,-27.62,107,150.45,0.402,0.566,-0.327,-43.4
276,Franz Wagner,Orlando Magic,1630532,760.0,728.96,0.566,0.046,31.04,261.0,327.3,0.293,-0.223,-66.3,1021,1056.25,0.527,0.546,-0.036,-35.2
277,Ziaire Williams,Memphis Grizzlies,1630533,184.0,204.64,0.492,-0.11,-20.64,171.0,206.9,0.303,-0.191,-35.9,355,411.53,0.473,0.549,-0.151,-56.5
278,Ochai Agbaji,Toronto Raptors,1630534,196.0,218.44,0.536,-0.123,-22.44,177.0,216.78,0.304,-0.205,-39.78,373,435.22,0.495,0.577,-0.165,-62.2
279,Chris Duarte,Sacramento Kings,1630537,68.0,82.87,0.447,-0.196,-14.87,120.0,120.77,0.367,-0.007,-0.77,188,203.63,0.508,0.55,-0.084,-15.6
280,Bones Hyland,LA Clippers,1630538,72.0,88.11,0.424,-0.19,-16.11,87.0,109.14,0.293,-0.224,-22.14,159,197.25,0.432,0.536,-0.208,-38.2
281,Miles McBride,New York Knicks,1630540,142.0,137.98,0.504,0.029,4.02,234.0,197.57,0.413,0.193,36.43,376,335.56,0.57,0.508,0.123,40.4
282,Moses Moody,Golden State Warriors,1630541,204.0,199.49,0.576,0.025,4.51,156.0,168.29,0.338,-0.08,-12.29,360,367.8,0.544,0.556,-0.024,-7.8
283,Isaiah Jackson,Indiana Pacers,1630543,278.0,260.31,0.675,0.086,17.69,0.0,4.42,0.0,-1.105,-4.42,278,264.73,0.662,0.63,0.063,13.3
284,Tre Mann,Charlotte Hornets,1630544,124.0,124.87,0.512,-0.007,-0.87,93.0,91.68,0.383,0.016,1.32,217,216.56,0.537,0.536,0.002,0.4
285,Day'Ron Sharpe,Brooklyn Nets,1630549,282.0,292.48,0.592,-0.044,-10.48,12.0,14.25,0.333,-0.188,-2.25,294,306.73,0.588,0.613,-0.051,-12.7
286,JT Thor,Charlotte Hornets,1630550,68.0,91.86,0.415,-0.291,-23.86,63.0,76.97,0.313,-0.209,-13.97,131,168.85,0.44,0.567,-0.254,-37.8
287,Jalen Johnson,Atlanta Hawks,1630552,522.0,534.75,0.579,-0.028,-12.75,183.0,204.02,0.343,-0.118,-21.02,705,738.77,0.56,0.587,-0.054,-33.8
288,Corey Kispert,Washington Wizards,1630557,320.0,266.93,0.65,0.216,53.07,429.0,421.18,0.375,0.021,7.82,749,688.12,0.597,0.549,0.097,60.9
289,Davion Mitchell,Sacramento Kings,1630558,126.0,115.72,0.573,0.093,10.28,111.0,132.09,0.322,-0.183,-21.09,237,247.83,0.527,0.551,-0.048,-10.8
290,Austin Reaves,Los Angeles Lakers,1630559,504.0,449.46,0.583,0.126,54.54,381.0,366.88,0.381,0.042,14.12,885,816.35,0.578,0.534,0.09,68.6
291,Cam Thomas,Brooklyn Nets,1630560,610.0,610.71,0.483,-0.001,-0.71,324.0,311.37,0.356,0.042,12.63,934,922.08,0.5,0.494,0.013,11.9
292,Scottie Barnes,Toronto Raptors,1630567,682.0,691.82,0.534,-0.015,-9.82,300.0,328.84,0.34,-0.098,-28.84,982,1020.68,0.527,0.548,-0.042,-38.7
293,Trendon Watford,Brooklyn Nets,1630570,188.0,184.24,0.57,0.023,3.76,45.0,44.84,0.375,0.004,0.16,233,229.09,0.568,0.559,0.019,3.9
294,Sam Hauser,Boston Celtics,1630573,76.0,75.83,0.633,0.003,0.17,495.0,415.37,0.441,0.213,79.63,571,491.19,0.658,0.566,0.184,79.8
295,Julian Champagnie,San Antonio Spurs,1630577,76.0,101.78,0.458,-0.311,-25.78,222.0,232.25,0.352,-0.049,-10.25,298,334.02,0.509,0.57,-0.123,-36.0
296,Alperen Sengun,Houston Rockets,1630578,952.0,939.66,0.569,0.015,12.34,87.0,107.58,0.315,-0.224,-20.58,1039,1047.24,0.56,0.564,-0.009,-8.2
297,Josh Giddey,Oklahoma City Thunder,1630581,508.0,557.06,0.515,-0.1,-49.06,189.0,227.58,0.325,-0.199,-38.58,697,784.63,0.507,0.571,-0.128,-87.6
298,Santi Aldama,Memphis Grizzlies,1630583,278.0,308.12,0.531,-0.115,-30.12,306.0,326.04,0.352,-0.069,-20.04,584,634.16,0.529,0.574,-0.091,-50.2
299,Isaiah Livers,Washington Wizards,1630587,36.0,41.03,0.474,-0.132,-5.03,66.0,85.11,0.289,-0.251,-19.11,102,126.14,0.447,0.553,-0.212,-24.1
300,Jalen Suggs,Orlando Magic,1630591,302.0,311.39,0.545,-0.034,-9.39,402.0,375.64,0.4,0.079,26.36,704,687.04,0.575,0.561,0.028,17.0
301,Jalen Wilson,Brooklyn Nets,1630592,68.0,77.52,0.493,-0.138,-9.52,48.0,50.65,0.364,-0.06,-2.65,116,128.17,0.513,0.567,-0.108,-12.2
302,Cade Cunningham,Detroit Pistons,1630595,732.0,729.63,0.485,0.003,2.37,324.0,343.72,0.347,-0.063,-19.72,1056,1073.37,0.496,0.504,-0.016,-17.4
303,Evan Mobley,Cleveland Cavaliers,1630596,468.0,464.88,0.602,0.008,3.12,33.0,40.03,0.314,-0.201,-7.03,501,504.92,0.591,0.595,-0.009,-3.9
304,Aaron Wiggins,Oklahoma City Thunder,1630598,212.0,207.64,0.613,0.025,4.36,144.0,110.34,0.5,0.351,33.66,356,317.97,0.662,0.591,0.141,38.0
305,Dalano Banton,Portland Trail Blazers,1630625,162.0,196.91,0.448,-0.193,-34.91,96.0,116.11,0.308,-0.193,-20.11,258,313.04,0.453,0.549,-0.193,-55.0
306,Jose Alvarado,New Orleans Pelicans,1630631,114.0,137.77,0.463,-0.193,-23.77,183.0,189.69,0.37,-0.041,-6.69,297,327.46,0.516,0.569,-0.106,-30.5
307,Eugene Omoruyi,Washington Wizards,1630647,106.0,109.39,0.589,-0.038,-3.39,15.0,30.85,0.185,-0.587,-15.85,121,140.25,0.517,0.599,-0.165,-19.2
308,Jordan Goodwin,Memphis Grizzlies,1630692,142.0,171.75,0.43,-0.18,-29.75,93.0,122.13,0.282,-0.265,-29.13,235,293.9,0.427,0.534,-0.214,-58.9
309,MarJon Beauchamp,Milwaukee Bucks,1630699,92.0,94.27,0.548,-0.027,-2.27,84.0,78.74,0.394,0.074,5.26,176,173.03,0.568,0.558,0.019,3.0
310,Dyson Daniels,New Orleans Pelicans,1630700,158.0,163.21,0.552,-0.036,-5.21,96.0,123.28,0.299,-0.255,-27.28,254,286.48,0.508,0.573,-0.13,-32.5
311,Jaden Hardy,Dallas Mavericks,1630702,192.0,215.6,0.449,-0.11,-23.6,219.0,215.18,0.369,0.019,3.82,411,430.77,0.499,0.523,-0.048,-19.8
312,Scoot Henderson,Portland Trail Blazers,1630703,340.0,421.26,0.411,-0.196,-81.26,177.0,217.24,0.301,-0.205,-40.24,517,638.51,0.424,0.523,-0.199,-121.5
313,Jaden Ivey,Detroit Pistons,1631093,506.0,536.03,0.509,-0.06,-30.03,288.0,329.66,0.33,-0.143,-41.66,794,865.7,0.504,0.549,-0.091,-71.7
314,Paolo Banchero,Orlando Magic,1631094,908.0,919.32,0.501,-0.012,-11.32,309.0,299.9,0.365,0.032,9.1,1217,1219.22,0.512,0.513,-0.002,-2.2
