,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus
403,1631305,Akoldah Gak,Akoldah,1612709931,MXC,22.0,2,0,2,0.0,15.23,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,6.0,-6.0
404,1642651,Cameron Parker,Cameron,1612709902,SCW,26.0,28,13,15,0.464,15.25,1.71,4.36,0.392,0.43,1.25,0.344,1.25,1.46,0.856,0.25,1.89,2.14,5.07,1.25,0.46,0.0,0.61,0.82,1.89,6.0,-0.54
405,1630791,James Banks III,James,1612709915,MNE,27.0,26,20,6,0.769,20.74,2.38,4.46,0.534,0.0,0.08,0.0,0.85,1.23,0.691,2.38,4.15,6.54,1.0,1.62,0.38,1.77,0.46,2.69,1.62,6.0,2.92
406,1630641,Ibou Badji,Ibou,1612709927,WIS,22.0,41,15,26,0.366,22.83,2.49,4.24,0.587,0.0,0.0,,0.54,1.0,0.54,1.27,4.1,5.37,0.61,1.07,0.56,3.68,0.2,2.95,1.98,5.98,-3.37
407,1642615,Tyreke Key,Tyreke,1612709920,RAP,26.0,33,10,23,0.303,20.2,2.15,4.48,0.48,1.12,2.61,0.429,0.42,0.64,0.656,0.58,1.52,2.09,1.42,0.55,0.58,0.24,0.18,2.52,1.52,5.97,-4.48
408,1642485,DJ Rodman,DJ,1612709915,MNE,23.0,23,15,8,0.652,21.4,2.17,4.78,0.454,1.04,2.39,0.435,0.35,0.7,0.5,1.35,3.96,5.3,1.35,0.91,0.61,0.17,0.39,1.91,1.57,5.91,1.43
409,1642505,Alex Ducas,Alex,1612709889,OKL,24.0,6,4,2,0.667,25.36,1.83,7.67,0.239,1.17,5.5,0.213,0.5,0.67,0.746,0.5,2.17,2.67,0.67,0.5,1.0,0.0,0.33,0.5,0.5,5.83,-3.0
410,1641848,Armaan Franklin,Armaan,1612709929,CPS,24.0,12,4,8,0.333,17.67,2.33,5.5,0.424,0.83,2.83,0.293,0.17,0.33,0.515,0.83,2.83,3.67,0.33,1.5,0.83,0.67,0.0,1.83,0.5,5.83,-8.17
411,1641992,Donald Carey,Donald,1612709915,MNE,25.0,22,14,8,0.636,16.04,2.09,5.36,0.39,0.82,3.23,0.254,0.45,0.59,0.763,0.68,1.5,2.18,1.23,0.64,0.64,0.09,0.18,0.82,1.0,5.82,-2.5
412,1641918,Patrick Gardner,Patrick,1612709925,OSC,25.0,31,14,17,0.452,13.11,2.13,4.68,0.455,0.39,1.26,0.31,0.68,0.77,0.883,1.35,3.16,4.52,0.68,0.65,0.16,0.58,0.35,1.26,1.03,5.77,-3.35
413,1642520,Justin Moore,Justin,1612709927,WIS,24.0,26,11,15,0.423,21.96,2.27,5.65,0.402,0.81,3.08,0.263,0.23,0.35,0.657,0.27,2.31,2.58,1.42,0.85,0.62,0.12,0.19,1.08,0.54,5.77,-6.23
414,1642499,Max Fiedler,Max,1612709918,TEX,24.0,31,15,16,0.484,16.62,2.29,3.58,0.64,0.16,0.26,0.615,0.52,0.94,0.553,2.13,3.71,5.84,2.52,1.29,0.55,0.74,0.45,1.52,1.58,5.68,-2.48
415,1642011,Terry Roberts,Terry,1612709921,LIN,24.0,46,24,22,0.522,24.28,2.13,5.78,0.369,0.61,1.91,0.319,0.48,0.91,0.527,0.52,3.13,3.65,4.78,2.09,1.3,0.57,0.61,2.57,1.04,5.65,2.87
416,1642481,Jamarion Sharp,Jamarion,1612709918,TEX,23.0,36,13,23,0.361,21.58,2.47,4.14,0.597,0.0,0.0,,0.44,0.92,0.478,2.42,4.86,7.28,0.89,1.25,0.64,3.14,0.36,2.06,1.78,5.64,-1.92
417,1642591,Jeremy Jones,Jeremy,1612709908,RGV,28.0,40,22,18,0.55,19.72,1.9,5.15,0.369,1.18,3.5,0.337,0.32,0.55,0.582,1.68,1.5,3.18,1.35,0.8,1.05,0.28,0.25,1.82,0.88,5.62,1.75
418,1642531,Joel Soriano,Joel,1612709922,GBO,25.0,35,22,13,0.629,17.89,1.94,3.94,0.492,0.0,0.0,,0.91,1.2,0.758,2.49,3.69,6.17,0.49,0.97,0.14,1.23,0.37,2.14,1.57,5.54,-1.11
419,1641788,Alex Fudge,Alex,1612709905,SBL,21.0,15,6,9,0.4,15.13,2.13,5.07,0.42,0.73,1.67,0.437,0.27,0.47,0.574,1.13,2.4,3.53,0.4,0.87,0.47,0.6,0.2,1.8,0.93,5.53,-3.33
420,1642053,Joirdon Nicholas,Joirdon,1612709905,SBL,25.0,23,8,15,0.348,12.7,2.3,4.65,0.495,0.04,0.26,0.154,0.52,1.09,0.477,1.43,1.91,3.35,0.43,1.09,0.3,0.35,0.48,2.09,1.83,5.52,-3.43
421,1642563,Osayi Osifo,Osayi,1612709890,AUS,24.0,29,19,10,0.655,20.53,2.28,3.52,0.648,0.0,0.0,,0.48,1.0,0.48,2.34,3.86,6.21,0.62,0.83,0.83,1.21,0.59,3.0,1.38,5.48,1.97
422,1641877,Nathan Mensah,Nathan,1612709890,AUS,26.0,24,18,6,0.75,21.05,2.33,3.83,0.608,0.0,0.17,0.0,0.5,0.67,0.746,2.67,4.33,7.0,0.5,1.17,0.75,2.08,0.42,2.33,1.67,5.42,3.42
423,1630318,Jordan Jackson,Jordan,1612709923,WCB,27.0,34,10,24,0.294,15.92,2.18,4.76,0.458,0.18,1.18,0.153,0.53,0.68,0.779,0.26,1.74,2.0,1.18,0.76,1.12,0.38,0.29,1.56,1.15,5.41,-2.32
424,1642517,Malik Hall,Malik,1612709932,MCC,24.0,20,14,6,0.7,18.52,1.9,3.65,0.521,0.0,0.15,0.0,0.95,1.45,0.655,1.95,2.45,4.4,0.95,1.15,0.45,0.55,0.45,1.9,1.5,5.35,3.1
425,1642696,Kameron Warrens,Kameron,1612709915,MNE,25.0,30,20,10,0.667,16.04,2.2,4.6,0.478,0.73,2.2,0.332,0.13,0.2,0.65,0.93,1.4,2.33,0.4,0.6,0.73,0.2,0.2,1.53,0.73,5.33,1.47
426,1642771,Will Brown,Will,1612709929,CPS,27.0,8,4,4,0.5,13.82,2.5,4.25,0.588,0.25,0.75,0.333,0.0,0.25,0.0,1.0,2.5,3.5,0.0,0.25,0.25,1.5,0.5,3.0,0.5,5.25,0.0
427,1630711,Olin Carter III,Olin,1612709934,VAL,28.0,24,14,10,0.583,12.05,1.71,5.62,0.304,1.21,3.92,0.309,0.29,0.38,0.763,0.25,1.0,1.25,0.83,0.46,0.21,0.33,0.29,1.33,0.58,5.21,-1.42
428,1642550,Xavier Johnson,Xavier,1612709904,SXF,25.0,20,8,12,0.4,17.33,1.45,4.55,0.319,0.2,0.75,0.267,1.3,1.6,0.812,0.75,1.45,2.2,3.95,1.9,0.6,0.1,0.85,2.05,2.4,5.15,-0.2
429,1642584,Jordan Lathon,Jordan,1612709924,SDC,25.0,35,18,17,0.514,19.09,1.97,5.74,0.343,0.8,2.71,0.295,0.2,0.46,0.435,0.77,1.71,2.49,2.17,1.03,0.69,0.34,0.43,2.66,0.71,5.11,1.71
430,1642679,Seth Maxwell,Seth,1612709902,SCW,26.0,32,15,17,0.469,18.75,2.31,4.47,0.517,0.0,0.22,0.0,0.28,0.38,0.737,2.78,2.88,5.66,0.75,1.16,0.28,1.25,0.38,2.38,0.97,5.09,-0.72
431,1641999,John Knight III,John,1612709908,RGV,25.0,37,20,17,0.541,16.33,1.95,3.86,0.505,0.11,0.41,0.268,0.62,0.89,0.697,1.03,1.68,2.7,2.49,1.35,1.3,0.43,0.57,2.03,1.24,5.0,3.81
432,203145,Kent Bazemore,Kent,1612709922,GBO,35.0,6,4,2,0.667,19.28,2.0,8.0,0.25,1.0,5.33,0.188,0.0,0.33,0.0,1.0,3.33,4.33,1.33,2.0,0.33,0.33,0.33,1.0,0.67,5.0,-11.33
