,Player,Team,FGM,FGA,PTS,xPTS,eFG,xeFG,Points_Added,Shot_Making
226,Andrew Wiggins,Golden State Warriors,89,214,197,235.8,0.462,0.537,-31.8,-0.149
227,Talen Horton-Tucker,Utah Jazz,89,223,208,243.0,0.47,0.543,-32.5,-0.146
228,Jalen Green,Houston Rockets,126,308,293,331.0,0.479,0.531,-32.6,-0.106
229,Jaren Jackson Jr.,Memphis Grizzlies,172,382,384,430.7,0.501,0.544,-32.8,-0.086
230,Russell Westbrook,LA Clippers,105,237,226,260.8,0.473,0.543,-33.4,-0.141
231,Gary Trent Jr.,Toronto Raptors,73,197,181,214.9,0.45,0.536,-33.8,-0.172
232,Trae Young,Atlanta Hawks,163,393,385,426.4,0.487,0.531,-34.4,-0.087
233,Jeremy Sochan,San Antonio Spurs,94,224,208,245.6,0.468,0.545,-34.7,-0.155
234,RJ Barrett,New York Knicks,118,280,270,311.6,0.482,0.546,-35.7,-0.128
235,Fred VanVleet,Houston Rockets,107,283,274,307.0,0.465,0.53,-36.6,-0.13
236,Toumani Camara,Portland Trail Blazers,53,142,123,161.4,0.437,0.57,-37.7,-0.266
237,Scoot Henderson,Portland Trail Blazers,51,144,114,159.3,0.401,0.534,-38.3,-0.266
238,Victor Wembanyama,San Antonio Spurs,159,364,349,417.4,0.486,0.543,-40.9,-0.112
239,Keyonte George,Utah Jazz,83,230,205,249.0,0.448,0.537,-41.0,-0.178
240,Jordan Poole,Washington Wizards,129,321,297,353.8,0.469,0.537,-44.2,-0.138
241,Jordan Clarkson,Utah Jazz,115,288,261,308.5,0.453,0.531,-44.7,-0.155
242,Ausar Thompson,Detroit Pistons,106,228,219,255.1,0.456,0.557,-45.9,-0.201
243,Cade Cunningham,Detroit Pistons,193,462,433,497.8,0.47,0.523,-48.8,-0.106
244,Nikola Vucevic,Chicago Bulls,167,368,356,431.0,0.494,0.563,-50.9,-0.138
245,Josh Giddey,Oklahoma City Thunder,101,247,217,277.8,0.45,0.554,-51.5,-0.209
